"Package"	"Version"	"LibPath"
"orthopolynom"	"1.0-5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"parallel"	"3.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"phangorn"	"2.5.5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"pheatmap"	"1.0.12"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"phytools"	"0.6-99"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"pillar"	"1.4.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"pkgbuild"	"1.0.6"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"pkgconfig"	"2.0.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"pkgload"	"1.0.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"pkgmaker"	"0.27"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"plogr"	"0.2.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"plotly"	"4.9.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"plotlyGeoAssets"	"0.0.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"plotrix"	"3.7-7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"pls"	"2.7-2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"plyr"	"1.8.5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"png"	"0.1-7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"polynom"	"1.4-0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"prabclus"	"2.3-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"praise"	"1.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"prettyunits"	"1.0.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"processx"	"3.4.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"prodlim"	"2019.11.13"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"progress"	"1.2.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"promises"	"1.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"PRROC"	"1.3.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ps"	"1.3.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"purrr"	"0.3.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"quadprog"	"1.5-8"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"quantreg"	"5.52"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"R6"	"2.4.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"randomForest"	"4.6-14"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ranger"	"0.11.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"rcmdcheck"	"1.3.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"RColorBrewer"	"1.1-2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"Rcpp"	"1.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"RcppArmadillo"	"0.9.800.3.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"RcppEigen"	"0.3.3.7.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"RcppRoll"	"0.3.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"readr"	"1.3.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"readxl"	"1.3.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"recipes"	"0.1.7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"registry"	"0.5-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
